实体,类型,解释
艾伦·麦席森·图灵,PERSON,人物
阿兰·图灵,PERSON,人物
1912年6月23日,DATE,日期
英国,GPE,地名/国家/城市
伦敦,GPE,地名/国家/城市
朱利斯·麦席森·图灵,PERSON,人物
印度,GPE,地名/国家/城市
Ethel Sara Stoney,PRODUCT,机器/产品
英国,GPE,地名/国家/城市
印度,GPE,地名/国家/城市
六岁,DATE,日期
马尔伯勒学院,ORG,机构/组织
1926年,DATE,日期
十三岁,DATE,日期
第一天,DATE,日期
南安普顿,GPE,地名/国家/城市
六十英里,QUANTITY,QUANTITY
1927年,DATE,日期
吉尔福德,GPE,地名/国家/城市
1928年,DATE,日期
十六岁,DATE,日期
阿尔伯特·爱因斯坦,PERSON,人物
爱因斯坦,PERSON,人物
1931年,DATE,日期
剑桥大学,ORG,机构/组织
1934年,DATE,日期
1935年,DATE,日期
二十二岁,DATE,日期
1922年,DATE,日期
论可计算数,WORK_OF_ART,作品/论文
1931年,DATE,日期
通用图灵机,ORG,机构/组织
阿隆佐·邱奇,PERSON,人物
1936年9月至1938年7月,DATE,日期
普林斯顿大学,ORG,机构/组织
1937年,CARDINAL,CARDINAL
简·伊丽莎·宝洁奖学金,PRODUCT,机器/产品
普林斯顿大学,ORG,机构/组织
图灵机,ORG,机构/组织
冯·诺依曼,PERSON,人物
英国,GPE,地名/国家/城市
1939年,DATE,日期
二次世界大战,EVENT,事件
德国,GPE,地名/国家/城市
1938年9月,DATE,日期
德里温·诺克斯,PERSON,人物
恩尼格玛,NORP,团体
1939年7月,DATE,日期
波兰,GPE,地名/国家/城市
恩尼格玛,NORP,团体
诺克斯,GPE,地名/国家/城市
波兰,GPE,地名/国家/城市
1939年,DATE,日期
英国皇家海军,ORG,机构/组织
德国,GPE,地名/国家/城市
两年后,DATE,日期
德国,GPE,地名/国家/城市
重复的统计学,WORK_OF_ART,作品/论文
GC,PERSON,人物
2012年,DATE,日期
每年六月,DATE,日期
希尔顿,PERSON,人物
8,CARDINAL,CARDINAL
40英里,QUANTITY,QUANTITY
伦敦,GPE,地名/国家/城市
1947年,DATE,日期
马拉松,PERSON,人物
2小时46分03秒,TIME,时间
1947年英格兰业余田径锦标赛,EVENT,事件
马拉松,PERSON,人物
第五,ORDINAL,ORDINAL
1948年,DATE,日期
奥运,EVENT,事件
汤姆·理查兹,PERSON,人物
哈里·欣斯利,PERSON,人物
两年,DATE,日期
1400万,CARDINAL,CARDINAL
乔治,PERSON,人物
1945至1948年,DATE,日期
国家物理实验室,ORG,机构/组织
1949年,DATE,日期
计算机器和智能,WORK_OF_ART,作品/论文
1952年,DATE,日期
半小时,TIME,时间
后洛斯,DATE,日期
阿拉莫斯国家实验室,ORG,机构/组织
第一,ORDINAL,ORDINAL
1952年,DATE,日期
1952年,DATE,日期
叶序列,PERSON,人物
1992年,DATE,日期
2012年,DATE,日期
1952年,DATE,日期
一年,DATE,日期
1954年6月7日,DATE,日期
四十一岁,DATE,日期
2009年9月10日,DATE,日期
戈登·布朗,PERSON,人物
每日电讯报,ORG,机构/组织
2012年,DATE,日期
上议院麦克纳利,ORG,机构/组织
勋爵,GPE,地名/国家/城市
2013年12月24日,DATE,日期
伊莉莎白二世,FAC,设施/建筑
1952年,DATE,日期
2015年2月23日,DATE,日期
49000,CARDINAL,CARDINAL
2017年1月31日,DATE,日期
艾伦·图灵,PERSON,人物
约49000,CARDINAL,CARDINAL
1946年,CARDINAL,CARDINAL
英,GPE,地名/国家/城市
1951年,DATE,日期
艾伦图灵研究所,ORG,机构/组织
邱奇,PERSON,人物
图灵研究所,ORG,机构/组织
图灵机,ORG,机构/组织
1966年,DATE,日期
计算机协会,ORG,机构/组织
诺贝尔奖,WORK_OF_ART,作品/论文
英格兰银行,ORG,机构/组织
50英镑,MONEY,MONEY
NVIDIA,ORG,机构/组织
16,CARDINAL,CARDINAL
20,CARDINAL,CARDINAL
