头实体,关系,尾实体,关系中文
艾伦·麦席森·图灵,BORN_IN,阿兰·图灵,出生于
阿兰·图灵,BORN_IN,1912年6月23日,出生于
1912年6月23日,BORN_IN,英国,出生于
英国,BORN_IN,伦敦,出生于
伦敦,BORN_IN,朱利斯·麦席森·图灵,出生于
朱利斯·麦席森·图灵,BORN_IN,印度,出生于
印度,BORN_IN,Ethel Sara Stoney,出生于
英国,WORKED_AT,印度,在
六岁,WORKED_AT,马尔伯勒学院,在
1926年,STUDIED_AT,十三岁,考入
十三岁,STUDIED_AT,第一天,考入
第一天,STUDIED_AT,南安普顿,考入
南安普顿,STUDIED_AT,六十英里,考入
1927年,WORKED_AT,吉尔福德,在
1928年,RELATED_TO,十六岁,相关
十六岁,RELATED_TO,阿尔伯特·爱因斯坦,相关
阿尔伯特·爱因斯坦,RELATED_TO,爱因斯坦,相关
1931年,STUDIED_AT,剑桥大学,考入
1935年,WORKED_AT,二十二岁,在
二十二岁,WORKED_AT,1922年,在
论可计算数,WORKED_AT,1931年,在
1936年9月至1938年7月,WORKED_AT,普林斯顿大学,在
普林斯顿大学,WORKED_AT,1937年,在
1937年,WORKED_AT,简·伊丽莎·宝洁奖学金,在
简·伊丽莎·宝洁奖学金,WORKED_AT,普林斯顿大学,在
普林斯顿大学,WORKED_AT,图灵机,在
冯·诺依曼,RELATED_TO,英国,相关
二次世界大战,WORKED_AT,德国,在
德国,WORKED_AT,1938年9月,在
1938年9月,WORKED_AT,德里温·诺克斯,在
德里温·诺克斯,WORKED_AT,恩尼格玛,在
1939年7月,DEVELOPED,波兰,开发
波兰,DEVELOPED,恩尼格玛,开发
恩尼格玛,DEVELOPED,诺克斯,开发
诺克斯,DEVELOPED,波兰,开发
1939年,WORKED_AT,英国皇家海军,在
英国皇家海军,WORKED_AT,德国,在
德国,WORKED_AT,两年后,在
两年后,WORKED_AT,德国,在
重复的统计学,WORKED_AT,GC,在
GC,WORKED_AT,2012年,在
希尔顿,WORKED_AT,8,在
40英里,RELATED_TO,伦敦,相关
1947年,WORKED_AT,马拉松,在
马拉松,WORKED_AT,2小时46分03秒,在
2小时46分03秒,WORKED_AT,1947年英格兰业余田径锦标赛,在
1947年英格兰业余田径锦标赛,WORKED_AT,马拉松,在
马拉松,WORKED_AT,第五,在
1948年,RELATED_TO,奥运,相关
奥运,RELATED_TO,汤姆·理查兹,相关
哈里·欣斯利,RELATED_TO,两年,相关
两年,RELATED_TO,1400万,相关
1945至1948年,WORKED_AT,国家物理实验室,在
国家物理实验室,WORKED_AT,1949年,在
1952年,RELATED_TO,半小时,相关
后洛斯,WORKED_AT,阿拉莫斯国家实验室,在
阿拉莫斯国家实验室,WORKED_AT,第一,在
1952年,WORKED_AT,1952年,在
1952年,WORKED_AT,叶序列,在
1992年,AUTHORED,2012年,发表
1952年,RELATED_TO,一年,相关
1954年6月7日,RELATED_TO,四十一岁,相关
2009年9月10日,WORKED_AT,戈登·布朗,在
戈登·布朗,WORKED_AT,每日电讯报,在
2012年,RELATED_TO,上议院麦克纳利,相关
上议院麦克纳利,RELATED_TO,勋爵,相关
2013年12月24日,RELATED_TO,伊莉莎白二世,相关
伊莉莎白二世,RELATED_TO,1952年,相关
2015年2月23日,RELATED_TO,49000,相关
49000,RELATED_TO,2017年1月31日,相关
2017年1月31日,RELATED_TO,艾伦·图灵,相关
艾伦·图灵,RELATED_TO,约49000,相关
1946年,RELATED_TO,英,相关
英,RELATED_TO,1951年,相关
艾伦图灵研究所,RELATED_TO,邱奇,相关
邱奇,RELATED_TO,图灵研究所,相关
图灵研究所,RELATED_TO,图灵机,相关
1966年,RELATED_TO,计算机协会,相关
计算机协会,RELATED_TO,诺贝尔奖,相关
英格兰银行,RELATED_TO,50英镑,相关
NVIDIA,RELATED_TO,16,相关
16,RELATED_TO,20,相关
